domain,org_id,source,confidence,as_of
brwater.com,la-brwc,curated,high,2026-09-15
exxonmobil.com,la-exxon-br,curated,high,2026-09-15
shell.com,la-shell-norco,curated,high,2026-09-15
shell.us,la-shell-norco,curated,high,2026-09-15
marathonpetroleum.com,la-marathon-garyville,curated,high,2026-09-15
valero.com,la-valero,curated,high,2026-09-15
citgo.com,la-citgo,curated,high,2026-09-15
phillips66.com,la-p66,curated,high,2026-09-15
placidrefining.com,la-placid,curated,high,2026-09-15
dow.com,la-dow,curated,high,2026-09-15
basf.com,la-basf,curated,high,2026-09-15
sasol.com,la-sasol,curated,high,2026-09-15
cheniere.com,la-cheniere,curated,high,2026-09-15
venturegloballng.com,la-venture-global,curated,high,2026-09-15
portnola.com,la-portnola,curated,high,2026-09-15
portsl.com,la-portsl,curated,high,2026-09-15
portgbr.com,la-portgbr,curated,high,2026-09-15
flymsy.com,la-msy,curated,high,2026-09-15
flybtr.com,la-btr,curated,high,2026-09-15
flyshreveport.com,la-shv,curated,high,2026-09-15
lftairport.com,la-lft,curated,high,2026-09-15
