org_id,name,sector,jurisdiction,aliases,domains,contact_route,notes,source,as_of
la-mcneese,McNeese State University,education,state,McNeese;McNeese State University,mcneese.edu,direct,Lake Charles,curated,2026-09-15
la-nicholls,Nicholls State University,education,state,Nicholls;Nicholls State University,nicholls.edu,direct,Thibodaux,curated,2026-09-15
la-selu,Southeastern Louisiana University,education,state,SELU;Southeastern;Southeastern Louisiana University,selu.edu,direct,Hammond,curated,2026-09-15
la-uno,University of New Orleans,education,state,UNO;University of New Orleans;University Of New Orleans,uno.edu,direct,,curated,2026-09-15
la-xula,Xavier University of Louisiana,education,private,Xavier;Xavier University of Louisiana,xula.edu,direct,,curated,2026-09-15
la-dillard,Dillard University,education,private,Dillard;Dillard University,dillard.edu,direct,,curated,2026-09-15
la-centenary,Centenary College of Louisiana,education,private,Centenary;Centenary College,centenary.edu,direct,Shreveport,curated,2026-09-15
la-gram,Grambling State University,education,state,Grambling;Grambling State University,gram.edu,direct,,curated,2026-09-15
la-lctcs,Louisiana Community and Technical College System,education,state,LCTCS;Louisiana Community and Technical College System,lctcs.edu,direct,System office,curated,2026-09-15
la-bpcc,Bossier Parish Community College,education,state,BPCC;Bossier Parish Community College,bpcc.edu,direct,LCTCS,curated,2026-09-15
la-delgado,Delgado Community College,education,state,Delgado;Delgado Community College,dcc.edu,direct,LCTCS,curated,2026-09-15
la-rpcc,River Parishes Community College,education,state,RPCC;River Parishes Community College,rpcc.edu,direct,LCTCS,curated,2026-09-15
la-sowela,SOWELA Technical Community College,education,state,SOWELA;Sowela Technical Community College,sowela.edu,direct,LCTCS,curated,2026-09-15
la-fletcher,Fletcher Technical Community College,education,state,Fletcher;Fletcher Technical Community College,fletcher.edu,direct,LCTCS,curated,2026-09-15
la-nunez,Nunez Community College,education,state,Nunez;Nunez Community College,nunez.edu,direct,LCTCS,curated,2026-09-15
la-cltcc,Central Louisiana Technical Community College,education,state,CLTCC;Central Louisiana Technical Community College,cltcc.edu,direct,LCTCS,curated,2026-09-15
la-ntcc,Northshore Technical Community College,education,state,NTCC;Northshore Technical Community College,northshorecollege.edu,direct,LCTCS,curated,2026-09-15
la-suno,Southern University at New Orleans,education,state,SUNO;Southern University at New Orleans,suno.edu,direct,Southern University System,curated,2026-09-15
la-lcu,Louisiana Christian University,education,private,LCU;Louisiana Christian University;Louisiana College,lcu.edu,direct,Pineville; formerly Louisiana College,curated,2026-09-15
la-franu,Franciscan Missionaries of Our Lady University,education|healthcare,private,FranU;Franciscan Missionaries of Our Lady University;Our Lady of the Lake College,franu.edu,direct,FMOLHS-affiliated,curated,2026-09-15
la-ochsner,Ochsner Health,healthcare,private,Ochsner;Ochsner Health System;Ochsner Clinic Foundation;Ochsner Medical Center,ochsner.org,Health-ISAC,Largest LA health system; AS63103,curated,2026-09-15
la-lcmc,LCMC Health,healthcare,private,LCMC;LCMC Health;Louisiana Children's Medical Center;Children's Hospital New Orleans;University Medical Center New Orleans;Touro Infirmary;Touro Infirmary Hospital;East Jefferson General Hospital;West Jefferson Medical Center,lcmchealth.org;chnola.org;umcno.org;touro.com;ejgh.org;wjmc.org,Health-ISAC,New Orleans system,curated,2026-09-15
la-fmolhs,Franciscan Missionaries of Our Lady Health System,healthcare,private,FMOLHS;FMOL Health;Our Lady of the Lake;OLOL;Our Lady of the Lake Regional Medical Center;Our Lady of the Lake Hospital;Our Lady of Lourdes;Our Lady of the Angels;St. Francis Medical Center,fmolhs.org;ololrmc.com;lourdesrmc.com;stfran.com,Health-ISAC,Baton Rouge; Lafayette; Monroe; Bogalusa,curated,2026-09-15
la-wkhs,Willis-Knighton Health System,healthcare,private,Willis-Knighton;Willis Knighton;WK Health;Willis-Knighton Medical Center,wkhs.com,Health-ISAC,Shreveport,curated,2026-09-15
la-lgh,Ochsner Lafayette General,healthcare,private,Lafayette General;Lafayette General Health;Lafayette General Medical Center;Ochsner Lafayette General,lafayettegeneral.com,Health-ISAC,Joined Ochsner in 2020; retains own domain,curated,2026-09-15
la-tulanemed,Tulane Medical Center / Tulane Health System,healthcare,private,Tulane Medical Center;Tulane Health System;Tulane Doctors,tulanehealthcare.com,Health-ISAC,Tulane University hospital operations (now LCMC-operated); distinct from tulane.edu,curated,2026-09-15
la-northoaks,North Oaks Health System,healthcare,parish,North Oaks;North Oaks Health System;North Oaks Medical Center,northoaks.org,Health-ISAC,Hammond; Tangipahoa Parish Hospital Service District,curated,2026-09-15
la-acadian,Acadian Ambulance Service,healthcare|critical_infrastructure,private,Acadian Ambulance;Acadian Companies;Acadian Ambulance Service Inc,acadian.com,Health-ISAC,Lafayette; EMS; AS40346,curated,2026-09-15
la-entergy,Entergy,energy,private,Entergy;Entergy Louisiana;Entergy New Orleans;Entergy Corporation;Entergy Services,entergy.com,direct,Electric utility; New Orleans HQ; also AR MS TX,curated,2026-09-15
la-cleco,Cleco,energy,private,Cleco;Cleco Power;Cleco Corporate Holdings;Central Louisiana Electric,cleco.com,direct,Pineville,curated,2026-09-15
la-swepco,Southwestern Electric Power Company,energy,private,SWEPCO;Southwestern Electric Power;AEP SWEPCO;American Electric Power,swepco.com,direct,AEP subsidiary serving Shreveport area,curated,2026-09-15
la-lus,Lafayette Utilities System,energy|water|telecom,municipal,LUS;Lafayette Utilities System,lus.org;lusfiber.com,MS-ISAC,Department of Lafayette Consolidated Government. LUS Fiber (the ISP; ASN registrant 'LUS Fiber') is deliberately NOT an alias and lusfiber.net not a domain: that space holds subscribers,curated,2026-09-15
la-swbno,Sewerage and Water Board of New Orleans,water,municipal,SWBNO;Sewerage & Water Board;Sewerage and Water Board of New Orleans;S&WB,swbno.org,MS-ISAC,,curated,2026-09-15
la-brwc,Baton Rouge Water Company,water,private,Baton Rouge Water Company;Baton Rouge Water;Parish Water Company,brwater.com,direct,Investor-owned,curated,2026-09-15
la-exxon-br,ExxonMobil Baton Rouge,energy|critical_infrastructure,private,ExxonMobil;Exxon Mobil;ExxonMobil Baton Rouge Refinery;Exxon Mobil Corporation,exxonmobil.com,direct,Baton Rouge refinery and chemical plant,curated,2026-09-15
la-shell-norco,Shell Norco / Convent,energy|critical_infrastructure,private,Shell;Shell Oil;Shell Chemical;Shell Norco;Shell Convent,shell.com;shell.us,direct,Norco manufacturing complex; Convent refinery (idled 2020),curated,2026-09-15
la-marathon-garyville,Marathon Petroleum Garyville,energy|critical_infrastructure,private,Marathon;Marathon Petroleum;Marathon Garyville;Marathon Petroleum Corporation,marathonpetroleum.com,direct,Garyville refinery,curated,2026-09-15
la-valero,Valero St. Charles / Meraux,energy|critical_infrastructure,private,Valero;Valero Energy;Valero St. Charles;Valero Meraux,valero.com,direct,St. Charles (Norco) and Meraux refineries,curated,2026-09-15
la-citgo,CITGO Lake Charles,energy|critical_infrastructure,private,CITGO;Citgo Petroleum;CITGO Lake Charles,citgo.com,direct,Lake Charles refinery,curated,2026-09-15
la-p66,Phillips 66 Alliance / Lake Charles,energy|critical_infrastructure,private,Phillips 66;Phillips 66 Company;Phillips 66 Alliance;Phillips 66 Lake Charles;Phillips 66 Westlake,phillips66.com,direct,Alliance (Belle Chasse; converted to terminal) and Lake Charles refineries,curated,2026-09-15
la-placid,Placid Refining Company,energy|critical_infrastructure,private,Placid Refining;Placid,placidrefining.com,direct,Port Allen refinery,curated,2026-09-15
la-dow,Dow Louisiana Operations,critical_infrastructure,private,Dow;Dow Chemical;Dow Louisiana;Dow Plaquemine,dow.com,direct,Plaquemine complex,curated,2026-09-15
la-basf,BASF Geismar,critical_infrastructure,private,BASF;BASF Corporation;BASF Geismar,basf.com,direct,Geismar site,curated,2026-09-15
la-sasol,Sasol Lake Charles,critical_infrastructure,private,Sasol;Sasol Chemicals;Sasol North America;Sasol Lake Charles,sasol.com,direct,Lake Charles chemical complex (Westlake),curated,2026-09-15
la-cheniere,Cheniere Energy / Sabine Pass LNG,energy|critical_infrastructure,private,Cheniere;Cheniere Energy;Sabine Pass LNG;Sabine Pass Liquefaction,cheniere.com,direct,Sabine Pass export terminal (Cameron Parish),curated,2026-09-15
la-venture-global,Venture Global LNG,energy|critical_infrastructure,private,Venture Global;Venture Global LNG;Calcasieu Pass;Plaquemines LNG,venturegloballng.com,direct,Calcasieu Pass and Plaquemines LNG,curated,2026-09-15
la-portnola,Port of New Orleans,critical_infrastructure,state,Port NOLA;Port of New Orleans;Board of Commissioners of the Port of New Orleans,portnola.com,MS-ISAC,State political subdivision,curated,2026-09-15
la-portsl,Port of South Louisiana,critical_infrastructure,state,Port of South Louisiana,portsl.com,MS-ISAC,LaPlace,curated,2026-09-15
la-portgbr,Port of Greater Baton Rouge,critical_infrastructure,state,Port of Greater Baton Rouge;Greater Baton Rouge Port Commission,portgbr.com,MS-ISAC,Port Allen,curated,2026-09-15
la-msy,Louis Armstrong New Orleans International Airport,critical_infrastructure,municipal,MSY;New Orleans Airport;Louis Armstrong International;New Orleans Aviation Board,flymsy.com,MS-ISAC,Owned by City of New Orleans; Kenner,curated,2026-09-15
la-btr,Baton Rouge Metropolitan Airport,critical_infrastructure,municipal,BTR;Baton Rouge Metropolitan Airport;Ryan Field,flybtr.com,MS-ISAC,City-Parish owned,curated,2026-09-15
la-shv,Shreveport Regional Airport,critical_infrastructure,municipal,SHV;Shreveport Regional Airport;Shreveport Airport Authority,flyshreveport.com,MS-ISAC,,curated,2026-09-15
la-lft,Lafayette Regional Airport,critical_infrastructure,parish,LFT;Lafayette Regional Airport;Lafayette Airport Commission,lftairport.com,MS-ISAC,,curated,2026-09-15
